Species,Scientific.name,Woodland.community,Localised,Structure,Component,Level,Key.indicators,NVC.association
Wood sage,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Herb-robert,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Ground ivy,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Early dog violet,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Sweet violet,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Nettle leaved bellflower,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Wood spurge,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Pignut,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Bush vetch,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
False brome,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Hairy brome,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Cock's foot,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Tufted hair grass,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
False oat-grass,,Base-rich Lowland,,Open wooded habitat,,Field layer,,
Blackthorn,,Base-rich Lowland,,Glade,,Canopy,,
Elder,,Base-rich Lowland,,Glade,,Canopy,,
Silver birch,,Base-rich Lowland,,Glade,,Canopy,,
Downy birch,,Base-rich Lowland,,Glade,,Canopy,,
Guelder rose,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Goat willow,,Base-rich Lowland,,Glade,,Canopy,,
Privet,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Dogwood,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Spindle,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Wayfaring tree,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Purging blackthorn,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Holly,,Base-rich Lowland,,Glade,,Canopy,,
Crab apple,,Base-rich Lowland,,Glade,,Canopy,,
Rowan,,Base-rich Lowland,,Glade,,Canopy,,
Aspen,,Base-rich Lowland,,Glade,,Canopy,,
Grey willow,,Base-rich Lowland,,Glade,,Canopy,,
Pendunculate oak,,Base-rich Lowland,,Glade,,Canopy,,
Ash,,Base-rich Lowland,,Glade,,Canopy,,
Wych elm,,Base-rich Lowland,,Glade,,Canopy,,
Field maple,,Base-rich Lowland,,Glade,,Canopy,,
Wild cherry,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Wild service,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Common whitebeam,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Beech,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Sycamore,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Common barberry,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Hornbeam,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Small-leaved lime,,Base-rich Lowland,TRUE,Glade,,Canopy,,
Hazel,,Base-rich Lowland,,Glade,,Canopy,,
Hawthorn,,Base-rich Lowland,,Glade,,Canopy,,
Yew,,Base-rich Lowland,,Glade,,Canopy,,
Bird's-foot trefoil,,Base-rich Lowland,,Glade,,Field layer,,
Common knapweed,,Base-rich Lowland,,Glade,,Field layer,,
Oxeye daisy,,Base-rich Lowland,,Glade,,Field layer,,
Cowslip,,Base-rich Lowland,,Glade,,Field layer,,
Sweet vernal grass,,Base-rich Lowland,,Glade,,Field layer,,
Crested dog's tail,,Base-rich Lowland,,Glade,,Field layer,,
Common sorrell,,Base-rich Lowland,,Glade,,Field layer,,
Meadow vetchling,,Base-rich Lowland,,Glade,,Field layer,,
Tufted vetch,,Base-rich Lowland,,Glade,,Field layer,,
Yarrow,,Base-rich Lowland,,Glade,,Field layer,,
Wild thyme,,Base-rich Lowland,,Glade,,Field layer,,
Sheep's fescue,,Base-rich Lowland,,Glade,,Field layer,,
Red fescue,,Base-rich Lowland,,Glade,,Field layer,,
Ribwort plantain,,Base-rich Lowland,,Glade,,Field layer,,
Lady's bedstraw,,Base-rich Lowland,,Glade,,Field layer,,
Rough hawkbit,,Base-rich Lowland,,Glade,,Field layer,,
Salad burnet,,Base-rich Lowland,,Glade,,Field layer,,
Field madder,,Base-rich Lowland,,Glade,,Field layer,,
Fumitories,,Base-rich Lowland,,Glade,,Field layer,,
Quaking grass,,Base-rich Lowland,,Glade,,Field layer,,
Cock's foot,,Base-rich Lowland,,Glade,,Field layer,,
Ploughman's spikenard,,Base-rich Lowland,,Glade,,Field layer,,
Wild parsnip,,Base-rich Lowland,,Glade,,Field layer,,
Wild roses,,Base-rich Lowland,,Glade,,Field layer,,
Hogweed,,Base-rich Lowland,,Glade,,Field layer,,
Field scabious,,Base-rich Lowland,,Glade,,Field layer,,
Devil's bit scabious,,Base-rich Lowland,,Glade,,Field layer,,
False oat-grass,,Base-rich Lowland,,Glade,,Field layer,,
Tor-grass,,Base-rich Lowland,,Glade,,Field layer,,
Upright brome,,Base-rich Lowland,,Glade,,Field layer,,
Alder,,Wet Lowland,,Grove,,Canopy,,W2; W5; W6
Downy birch,,Wet Lowland,,Grove,,Canopy,,W2; W6
Ash,,Wet Lowland,,Grove,,Canopy,,W5; W7
Black poplar,,Wet Lowland,TRUE,Grove,,Canopy,,
Crack willow,,Wet Lowland,,Grove,,Canopy,,W6
White willow,,Wet Lowland,,Grove,,Canopy,,
Pendunculate oak,,Wet Lowland,,Grove,,Canopy,,W5
Wych elm,,Wet Lowland,,Grove,,Canopy,,
Small-leaved lime,,Wet Lowland,TRUE,Grove,,Canopy,,
Hornbeam,,Wet Lowland,TRUE,Grove,,Canopy,,
Yellow pimpernel,,Wet Lowland,,Grove,,Field layer,,
Remote sedge,,Wet Lowland,,Grove,,Field layer,,
Opposite-leaved golden saxifrage,,Wet Lowland,,Grove,,Field layer,,
Wood sorrel,,Wet Lowland,,Grove,,Field layer,,
Honeysuckle,,Wet Lowland,,Grove,,Field layer,,
Dog's mercury,,Wet Lowland,,Grove,,Field layer,,
Wild garlic,,Wet Lowland,,Grove,,Field layer,,
Wood anemone,,Wet Lowland,,Grove,,Field layer,,
Moschatel,,Wet Lowland,,Grove,,Field layer,,
Bugle,,Wet Lowland,,Grove,,Field layer,,
Enchanter's nightshade,,Wet Lowland,,Grove,,Field layer,,
Wood avens,,Wet Lowland,,Grove,,Field layer,,
Ivy,,Wet Lowland,,Grove,,Field layer,,
Tufted hair grass,,Wet Lowland,,Grove,,Field layer,,
Broad buckler fern,,Wet Lowland,,Grove,,Field layer,,
Alder,,Wet Lowland,,Open wooded habitat,,Canopy,,
Downy birch,,Wet Lowland,,Open wooded habitat,,Canopy,,
Grey willow,,Wet Lowland,,Open wooded habitat,,Canopy,,
Guelder rose,,Wet Lowland,TRUE,Open wooded habitat,,Canopy,,
Alder buckthorn,,Wet Lowland,TRUE,Open wooded habitat,,Canopy,,
Pendunculate oak,,Wet Lowland,,Open wooded habitat,,Canopy,,
Black poplar,,Wet Lowland,TRUE,Open wooded habitat,,Canopy,,
Small-leaved lime,,Wet Lowland,TRUE,Open wooded habitat,,Canopy,,
Goat willow,,Wet Lowland,,Open wooded habitat,,Canopy,,
Aspen,,Wet Lowland,,Open wooded habitat,,Canopy,,
Holly,,Wet Lowland,,Open wooded habitat,,Canopy,,
Elder,,Wet Lowland,,Open wooded habitat,,Canopy,,
Hornbeam,,Wet Lowland,TRUE,Open wooded habitat,,Canopy,,
Purple willow,,Wet Lowland,TRUE,Open wooded habitat,,Canopy,,
Crack willow,,Wet Lowland,,Open wooded habitat,,Canopy,,
White willow,,Wet Lowland,,Open wooded habitat,,Canopy,,
Osier willow,,Wet Lowland,,Open wooded habitat,,Canopy,,
Almond willow,,Wet Lowland,,Open wooded habitat,,Canopy,,
Bay willow,,Wet Lowland,TRUE,Open wooded habitat,,Canopy,,
Wild angelica,,Wet Lowland,,Open wooded habitat,,Field layer,,
Hogweed,,Wet Lowland,,Open wooded habitat,,Field layer,,
Cow parsley,,Wet Lowland,,Open wooded habitat,,Field layer,,
Meadowsweet,,Wet Lowland,,Open wooded habitat,,Field layer,,
Water avens,,Wet Lowland,,Open wooded habitat,,Field layer,,
Hemlock,,Wet Lowland,,Open wooded habitat,,Field layer,,
Water dropwort,,Wet Lowland,,Open wooded habitat,,Field layer,,
Butterbur,,Wet Lowland,,Open wooded habitat,,Field layer,,
Common valerian,,Wet Lowland,,Open wooded habitat,,Field layer,,
Purple loosestrife,,Wet Lowland,,Open wooded habitat,,Field layer,,
Creeping jenny,,Wet Lowland,,Open wooded habitat,,Field layer,,
Hemp nettle,,Wet Lowland,,Open wooded habitat,,Field layer,,
Marsh thistle,,Wet Lowland,,Open wooded habitat,,Field layer,,
Yellow flag,,Wet Lowland,,Open wooded habitat,,Field layer,,
Stinging nettle,,Wet Lowland,,Open wooded habitat,,Field layer,,
Greater bird's foot trefoil,,Wet Lowland,,Open wooded habitat,,Field layer,,
Bittersweet,,Wet Lowland,,Open wooded habitat,,Field layer,,
Hedge bindweed,,Wet Lowland,,Open wooded habitat,,Field layer,,
Red currant,,Wet Lowland,,Open wooded habitat,,Field layer,,
Marsh bedstraw,,Wet Lowland,,Open wooded habitat,,Field layer,,
Garlic mustard,,Wet Lowland,,Open wooded habitat,,Field layer,,
Yellow loosestrife,,Wet Lowland,,Open wooded habitat,,Field layer,,
Tufted vetch,,Wet Lowland,,Open wooded habitat,,Field layer,,
Red campion,,Wet Lowland,,Open wooded habitat,,Field layer,,
Marsh marigold,,Wet Lowland,,Open wooded habitat,,Field layer,,
Common nettle,,Wet Lowland,,Open wooded habitat,,Field layer,,
Tufted hair grass,,Wet Lowland,,Open wooded habitat,,Field layer,,
Reed canary grass,,Wet Lowland,,Open wooded habitat,,Field layer,,
Goat willow,,Wet Lowland,,Glade,,Canopy,,
Grey willow,,Wet Lowland,,Glade,,Canopy,,
Guelder rose,,Wet Lowland,TRUE,Glade,,Canopy,,
Aspen,,Wet Lowland,,Glade,,Canopy,,
Holly,,Wet Lowland,,Glade,,Canopy,,
Elder,,Wet Lowland,,Glade,,Canopy,,
Alder buckthorn,,Wet Lowland,TRUE,Glade,,Canopy,,
Purple willow,,Wet Lowland,TRUE,Glade,,Canopy,,
Osier willow,,Wet Lowland,,Glade,,Canopy,,
Almond willow,,Wet Lowland,,Glade,,Canopy,,
Bay willow,,Wet Lowland,TRUE,Glade,,Canopy,,
Crack willow,,Wet Lowland,,Glade,,Canopy,,
White willow,,Wet Lowland,,Glade,,Canopy,,
Alder,,Wet Lowland,,Glade,,Canopy,,
Downy birch,,Wet Lowland,,Glade,,Canopy,,
Pendunculate oak,,Wet Lowland,,Glade,,Canopy,,
Ash,,Wet Lowland,,Glade,,Canopy,,
Black poplar,,Wet Lowland,TRUE,Glade,,Canopy,,
Small-leaved lime,,Wet Lowland,TRUE,Glade,,Canopy,,
Wild angelica,,Wet Lowland,,Glade,,Field layer,,
Meadowsweet,,Wet Lowland,,Glade,,Field layer,,
Marsh thistle,,Wet Lowland,,Glade,,Field layer,,
Greater bird's foot trefoil,,Wet Lowland,,Glade,,Field layer,,
Marsh bedstraw,,Wet Lowland,,Glade,,Field layer,,
Tufted hair grass,,Wet Lowland,,Glade,,Field layer,,
Hemp agrimony,,Wet Lowland,,Glade,,Field layer,,
Common fleabane,,Wet Lowland,,Glade,,Field layer,,
Ragged robin,,Wet Lowland,,Glade,,Field layer,,
Cuckooflower,,Wet Lowland,,Glade,,Field layer,,
Common sorrell,,Wet Lowland,,Glade,,Field layer,,
Yellow flag,,Wet Lowland,,Glade,,Field layer,,
Devil's bit scabious,,Wet Lowland,,Glade,,Field layer,,
Great burnet,,Wet Lowland,,Glade,,Field layer,,
Meadow foxtail,,Wet Lowland,,Glade,,Field layer,,
Marsh marigold,,Wet Lowland,,Glade,,Field layer,,
Tufted vetch,,Wet Lowland,,Glade,,Field layer,,
Yorkshire fog,,Wet Lowland,,Glade,,Field layer,,
Soft rush,,Wet Lowland,,Glade,,Field layer,,
Jointed rush,,Wet Lowland,,Glade,,Field layer,,
Sharp-flowered rush,,Wet Lowland,,Glade,,Field layer,,
